序号,论文标题,相关链接,论文编号,被引次数
1,String rewriting systems and associated finiteness conditions.,"<a href=""http://theses.gla.ac.uk/6190/""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>","=""http://theses.gla.ac.uk/6190/",被引次数暂无
2,Using Geographic Information System associated to mathematical models as a predictional tool in the study of hydrogeologic impact of dam reservoirs (A modelagem matemática associada ao Sistema de Informação Geográfica como instrumento de previsão no estudo do impacto hidrogeológico de reservatórios).,"<a href=""http://www.teses.usp.br/teses/disponiveis/44/44133/tde-31012003-081603/""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>","=""http://www.teses.usp.br/teses/disponiveis/44/44133/tde-31012003-081603/",被引次数暂无
3,Final Lift Actions Associated with Topological Functors.,"<a href=""https://doi.org/10.1023/A:1020534620672""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1023/A:1020534620672,0
4,Some classes of infinite series associated with the Riemann Zeta and Polygamma functions and generalized harmonic numbers.,"<a href=""https://doi.org/10.1016/S0096-3003(01)00172-2""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0096-3003(01)00172-2,30
5,A certain class of biorthogonal polynomials associated with the Laguerre polynomials.,"<a href=""https://doi.org/10.1016/S0096-3003(01)00081-9""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0096-3003(01)00081-9,3
6,How to Distribute Costs Associated with a Delayed Project.,"<a href=""https://doi.org/10.1023/A:1016300218643""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1023/A:1016300218643,21
7,The overlap integral of three associated Legendre polynomials.,"<a href=""https://doi.org/10.1016/S0893-9659(02)80004-0""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0893-9659(02)80004-0,19
8,Full nuclear cones associated to a normal cone. Application to Pareto efficiency.,"<a href=""https://doi.org/10.1016/S0893-9659(02)80017-9""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0893-9659(02)80017-9,7
9,Boundary value problems for systems of difference equations associated with systems of second-order ordinary differential equations.,"<a href=""https://doi.org/10.1016/S0893-9659(02)00039-3""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0893-9659(02)00039-3,36
10,Graceful Labelings of Graphs Associated with Vertex-saturated Graphs.,"<a href=""https://dblp.uni-trier.de/rec/journals/arscom/Wu02.html""><img alt="""" class=""icon"" src=""https://dblp.uni-trier.de/img/info.dark.hollow.16x16.png""/>no references &amp; citations available</a>","=""https://dblp.uni-trier.de/rec/journals/arscom/Wu02.html",被引次数暂无
11,Performance of soft phones and advances in associated technology.,"<a href=""https://doi.org/10.1002/bltj.23""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1002/bltj.23,1
12,CpGProD: identifying CpG islands associated with transcription start sites in large genomic mammalian sequences.,"<a href=""https://doi.org/10.1093/bioinformatics/18.4.631""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1093/bioinformatics/18.4.631,121
13,ADME-AP: a database of ADME associated proteins.,"<a href=""https://doi.org/10.1093/bioinformatics/18.12.1699""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1093/bioinformatics/18.12.1699,21
14,Assessing the significance of consistently mis-regulated genes in cancer associated gene expression matrices.,"<a href=""https://doi.org/10.1093/bioinformatics/18.3.389""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1093/bioinformatics/18.3.389,3
15,Paper-based versus computer-based assessment: key factors associated with the test mode effect.,"<a href=""https://doi.org/10.1111/1467-8535.00294""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1111/1467-8535.00294,128
16,The functional importance of disease-associated mutation.,"<a href=""https://doi.org/10.1186/1471-2105-3-24""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper-oa.dark.hollow.16x16.png""/></a>",10.1186/1471-2105-3-24,33
17,Theoretical Study of the Morphologically Originated Noise Associated with the Transmittance of a Precipitation System.,"<a href=""https://doi.org/10.1016/S0097-8485(01)00090-0""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0097-8485(01)00090-0,0
18,On the Statistical Nature of Real Sinusoids Associated with Rotating Machinery.,"<a href=""https://doi.org/10.1006/dspr.2001.0404""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1006/dspr.2001.0404,0
19,Covering and Packing Problems in Lattices Associated with then-Cube.,"<a href=""https://doi.org/10.1006/eujc.2001.0543""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper-oa.dark.hollow.16x16.png""/></a>",10.1006/eujc.2001.0543,0
20,A Novel Reconfigurable Wrapper for Testing of Embedded Core-Based SOCs and its Associated Scheduling Algorithm.,"<a href=""https://doi.org/10.1023/A:1016593423844""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1023/A:1016593423844,22
21,The Briefing Associate: Easing Authors into the Semantic Web.,"<a href=""https://doi.org/10.1109/5254.988445""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1109/5254.988445,5
22,"On Point-Cyclic Resolutions of the 2-(63, 7, 15) Design Associated with PG(5, 2).","<a href=""https://doi.org/10.1007/s003730200046""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1007/s003730200046,12
23,Two Groups Associated with Quadratic Pisot Units.,"<a href=""https://doi.org/10.1142/S0218196702001188""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1142/S0218196702001188,1
24,On the Error Analysis Associated with the Newton-Cotes Formulae.,"<a href=""https://doi.org/10.1080/00207160212119""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1080/00207160212119,0
25,Exploring organizational expansion modes and their associated communication system requirements: consolidation and complementation.,"<a href=""https://doi.org/10.1016/S0268-4012(01)00039-1""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0268-4012(01)00039-1,5
26,Concepts Associated to Criteria: A Method for Knowledge Processing from Fuzzy Contexts.,"<a href=""https://doi.org/10.1142/S0218488502001405""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1142/S0218488502001405,3
27,Issues in cybersecurity; understanding the potential risks associated with hackers/crackers.,"<a href=""https://doi.org/10.1108/09685220210436976""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1108/09685220210436976,41
28,Research Paper: Factors Associated with Success in Searching MEDLINE and Applying Evidence to Answer Clinical Questions.,"<a href=""https://doi.org/10.1197/jamia.M0996""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1197/jamia.M0996,87
29,"American College of Medical Informatics Fellows and International Associates, 2001.","<a href=""https://doi.org/10.1136/jamia.2002.0090409""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1136/jamia.2002.0090409,1
30,Organizational Factors Associated with Expert Systems Implementation.,"<a href=""https://www.tandfonline.com/doi/abs/10.1080/08874417.2002.11647055""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>","=""https://www.tandfonline.com/doi/abs/10.1080/08874417.2002.11647055",被引次数暂无
31,Polynomials Associated with Nowhere-Zero Flows.,"<a href=""https://doi.org/10.1006/jctb.2001.2081""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper-oa.dark.hollow.16x16.png""/></a>",10.1006/jctb.2001.2081,22
32,The top 100 linked-to pages on UK university web sites: high inlink counts are not usually associated with quality scholarly content.,"<a href=""https://doi.org/10.1177/016555150202800604""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1177/016555150202800604,45
33,Voice quality differences associated with stops and clicks in Xhosa.,"<a href=""https://doi.org/10.1006/jpho.2001.0150""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1006/jpho.2001.0150,39
34,New associate editor.,"<a href=""https://doi.org/10.1109/JSSC.2002.982415""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1109/JSSC.2002.982415,0
35,The conceptual weak hierarchy associated with a dissimilarity measure.,"<a href=""https://doi.org/10.1016/S0165-4896(02)00053-7""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0165-4896(02)00053-7,6
36,Cortical Activation Associated with Passive Movements of the Human Index Finger: An MEG Study.,"<a href=""https://doi.org/10.1006/nimg.2001.1010""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1006/nimg.2001.1010,44
37,Hippocampal Head Size Associated with Verbal Memory Performance in Nondemented Elderly.,"<a href=""https://doi.org/10.1006/nimg.2002.1248""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1006/nimg.2002.1248,139
38,Dissociation of Working Memory Processing Associated with Native and Second Languages: PET Investigation.,"<a href=""https://doi.org/10.1006/nimg.2001.1025""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1006/nimg.2001.1025,40
39,Cortical Systems Associated with Covert Music Rehearsal.,"<a href=""https://doi.org/10.1006/nimg.2002.1144""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1006/nimg.2002.1144,62
40,"Separating Relational from Item Load Effects in Paired Recognition: Temporoparietal and Middle Frontal Gyral Activity with Increased Associates, but Not Items during Encoding and Retention.","<a href=""https://doi.org/10.1006/nimg.2002.1190""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1006/nimg.2002.1190,9
41,Neuroimaging a Single Thought: Dorsolateral PFC Activity Associated with Refreshing Just-Activated Information.,"<a href=""https://doi.org/10.1006/nimg.2001.0983""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1006/nimg.2001.0983,105
42,Methionine Homozygosity at Codon 129 in the Prion Protein Is Associated with White Matter Reduction and Enlargement of CSF Compartments in Healthy Volunteers and Schizophrenic Patients.,"<a href=""https://doi.org/10.1006/nimg.2001.0932""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1006/nimg.2001.0932,24
43,Introduction of New Associate Editors.,"<a href=""https://doi.org/10.1109/TPAMI.2002.1023798""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TPAMI.2002.1023798,0
44,Introduction of New Associate Editor.,"<a href=""http://doi.ieeecomputersociety.org/10.1109/TPAMI.2002.10005""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>","=""http://doi.ieeecomputersociety.org/10.1109/TPAMI.2002.10005",被引次数暂无
45,European Union associated university websites.,"<a href=""https://doi.org/10.1023/A:1014836021080""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1023/A:1014836021080,17
46,Asymptotic Properties of Input-Output Operators Norm Associated with Singularly Perturbed Systems with Multiplicative White Noise.,"<a href=""https://doi.org/10.1137/S0363012900369447""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1137/S0363012900369447,13
47,Health aspects of wireless communication: health and safety associated with exposure to wireless radiation from personal telecommunication base stations.,"<a href=""https://doi.org/10.1145/581291.581293""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1145/581291.581293,0
48,A local neural classifier for the recognition of EEG patterns associated to mental tasks.,"<a href=""https://doi.org/10.1109/TNN.2002.1000132""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TNN.2002.1000132,115
49,Cooperative transport by multiple mobile robots in unknown static environments associated with real-time task assignment.,"<a href=""https://doi.org/10.1109/TRA.2002.803464""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TRA.2002.803464,99
50,A parametric model for the distribution of the angle of arrival and the associated correlation function and power spectrum at the mobile station.,"<a href=""https://doi.org/10.1109/TVT.2002.1002493""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TVT.2002.1002493,330
51,Architecture of a Blended-Query and Result-Visualization Mechanism for Web-Accessible Databases and Associated Implementation Issues.,"<a href=""https://doi.org/10.1007/3-540-45710-0_28""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1007/3-540-45710-0_28,1
52,Stochastic stability for Markovian jump linear systems associated with a finite number of jump times.,"<a href=""https://doi.org/10.1109/ACC.2002.1024826""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ACC.2002.1024826,0
53,Control of Markovian jumps linear systems with cost and information associated to jump times.,"<a href=""https://doi.org/10.1109/ACC.2002.1024827""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ACC.2002.1024827,0
54,Case-based Reasoning for Medical Risk Stratification: Contrast Associated Nephropathy.,"<a href=""https://knowledge.amia.org/amia-55142-a2002a-1.610020/t-002-1.611916/f-001-1.611917/a-219-1.612589/a-220-1.612586""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>","=""https://knowledge.amia.org/amia-55142-a2002a-1.610020/t-002-1.611916/f-001-1.611917/a-219-1.612589/a-220-1.612586",被引次数暂无
55,Information Systems Developments to Detect and Analyze Chemotherapy-associated Adverse Drug Events.,"<a href=""https://knowledge.amia.org/amia-55142-a2002a-1.610020/t-002-1.611916/f-001-1.611917/a-427-1.611962/a-428-1.611959""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>","=""https://knowledge.amia.org/amia-55142-a2002a-1.610020/t-002-1.611916/f-001-1.611917/a-427-1.611962/a-428-1.611959",被引次数暂无
56,Overcoming the Problems Associated with the Existence of Too Many DSM APIs.,"<a href=""https://doi.org/10.1109/CCGRID.2002.1017153""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1109/CCGRID.2002.1017153,0
57,Authenticated-encryption with associated-data.,"<a href=""https://doi.org/10.1145/586110.586125""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1145/586110.586125,152
58,"Asymptotic amplitudes, Cauchy gains, an associated small-gain principle, and an application to inhibitory biological feedback.","<a href=""https://doi.org/10.1109/CDC.2002.1185050""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.uni-trier.de/img/paper.dark.hollow.16x16.png""/></a>",10.1109/CDC.2002.1185050,0
