序号,论文标题,相关链接,论文编号,被引次数
1,"Association Rule Mining, Models and Algorithms.","<a href=""https://doi.org/10.1007/3-540-46027-6""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/3-540-46027-6,239
2,The discovery of association rules from tabular databases comprising nominal and ordinal attributes.,"<a href=""https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.268482""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>","=""https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.268482",被引次数暂无
3,Using dependency/association rules to find indications for computed tomography in a head trauma dataset.,"<a href=""https://doi.org/10.1016/S0933-3657(02)00052-0""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0933-3657(02)00052-0,9
4,Extraction of knowledge on protein-protein interaction by association rule discovery.,"<a href=""https://doi.org/10.1093/bioinformatics/18.5.705""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1093/bioinformatics/18.5.705,50
5,Cubegrades: Generalizing Association Rules.,"<a href=""https://doi.org/10.1023/A:1015417610840""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1023/A:1015417610840,33
6,Efficient Adaptive-Support Association Rule Mining for Recommender Systems.,"<a href=""https://doi.org/10.1023/A:1013284820704""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1023/A:1013284820704,231
7,Measuring the accuracy and interest of association rules: A new framework.,"<a href=""http://content.iospress.com/articles/intelligent-data-analysis/ida00089""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>","=""http://content.iospress.com/articles/intelligent-data-analysis/ida00089",被引次数暂无
8,Optimization of association rule mining queries.,"<a href=""http://content.iospress.com/articles/intelligent-data-analysis/ida00097""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>","=""http://content.iospress.com/articles/intelligent-data-analysis/ida00097",被引次数暂无
9,Generalized Fuzzy Quantitative Association Rules Mining with Fuzzy Generalization Hierarchies.,"<a href=""https://doi.org/10.5391/IJFIS.2002.2.3.210""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.5391/IJFIS.2002.2.3.210,0
10,Mining association rules using inverted hashing and pruning.,"<a href=""https://doi.org/10.1016/S0020-0190(01)00330-1""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0020-0190(01)00330-1,28
11,A lattice-based approach for I/O efficient association rule mining.,"<a href=""https://doi.org/10.1016/S0306-4379(01)00046-1""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0306-4379(01)00046-1,3
12,Fuzzy association rules and the extended mining algorithms.,"<a href=""https://doi.org/10.1016/S0020-0255(02)00264-5""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0020-0255(02)00264-5,92
13,ARMiner: A Data Mining Tool Based on Association Rules.,"<a href=""https://doi.org/10.1007/BF02948827""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/BF02948827,1
14,Effective Discovery of Exception Class Association Rules.,"<a href=""https://doi.org/10.1007/BF02947308""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/BF02947308,0
15,Bottom-Up Association Rule Mining in Relational Databases.,"<a href=""https://doi.org/10.1023/A:1016559527944""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1023/A:1016559527944,2
16,Attribute Generation Based on Association Rules.,"<a href=""https://doi.org/10.1007/s101150200010""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/s101150200010,7
17,Mining the optimal class association rule set.,"<a href=""https://doi.org/10.1016/S0950-7051(02)00024-2""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1016/S0950-7051(02)00024-2,34
18,Is pushing constraints deeply into the mining algorithms really what we want?: an alternative approach for association rule mining.,"<a href=""https://doi.org/10.1145/568574.568582""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1145/568574.568582,24
19,Image segmentation using association rule features.,"<a href=""https://doi.org/10.1109/TIP.2002.1006402""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TIP.2002.1006402,11
20,Fast Algorithms for Online Generation of Profile Association Rules.,"<a href=""https://doi.org/10.1109/TKDE.2002.1033771""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/TKDE.2002.1033771,8
21,Mining Optimized Association Rules with Categorical and Numeric Attributes.,"<a href=""https://doi.org/10.1109/69.979971""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/69.979971,39
22,A template model for multidimensional inter-transactional association rules.,"<a href=""https://doi.org/10.1007/s00778-002-0069-6""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/s00778-002-0069-6,26
23,Mining Incremental Association Rules with Generalized FP-Tree.,"<a href=""https://doi.org/10.1007/3-540-47922-8_13""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1007/3-540-47922-8_13,29
24,A visual data mining environment: metaqueries and association rules.,"<a href=""https://doi.org/10.1145/1556262.1556302""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1145/1556262.1556302,0
